"number","period","type_of_activity","deductions_of_subsoil_users_for_the_socio-economic_development","name_of_the_city_district","id","the_name_of_the_subsoil_user","deductions_of_subsoil_users_for_training"
"653","24.12.2009","Кварцевый песок","250","Коргалжынский","66","ТОО Экотон-Коргалжын","83,3"
"504","03.10.2008","Гравийный смесь","291,7","Коргалжынский","67","ТОО Нурсат-К","75"
"1323","01.07.2016","Строительный песок","350","Коргалжынский","68","ТОО КТК-Кварц","10"
"38","19.06.2000","Облицовочный камень","396,4","Сандыктауский","69","ТОО Граниты Кокшетау","228"
"103","15.02.2006","Изверженные породы","100","Сандыктауский","70","ТОО Сандыктау-Карьер","50"
"4","10.10.1998","Песчано-гравийные смеси","1500","Целиноградский","71","ТОО Рахат СТ","144"
"6","14.01.2000","Изверженные породы","300","Целиноградский","72","ТОО Табыс","140"
"53","18.05.2001","Строительный песок","121","Целиноградский","73","ТОО Карьер","203,5"
"63","23.08.2001","Щебенистый грунт","250","Целиноградский","74","ТОО Коктау-РХ","300"
"71","21.12.2001","Строительный песок","250","Целиноградский","75","ТОО ЖБК","196"
"84","25.06.2002","Стройкамень","100","Целиноградский","76","ТОО БГС-Сервис","683"
"98","06.06.2003","осадочные и изверженные породы","100","Целиноградский","77","ТОО TasQaz Company","683"
"9/-03","16.09.2003","Дресва","1450","Целиноградский","78","ТОО АлтынБедел","150"
"31/-04","29.06.2004","Песчано-гравийные смеси","600","Целиноградский","79","ТОО Астес Строй-Астана","265"
"42/-04","14.12.2004","Осадочные породы","500","Целиноградский","80","ТОО Александрит-ИВ","102"
"9","15.12.2004","Песчано-гравийные смеси","500","Целиноградский","81","ТОО Асстройэксперт","50"
"18","01.02.2005","Песчано-гравийные смеси","1460,5","Целиноградский","82","ТОО Аналитик и Ко","115,04"
"24","01.03.2005","Песок","70","Целиноградский","83","ТОО Группа Компаний Ак-Ай","10"
"47","11.08.2005","Гравийно-песчаная смесь","200","Целиноградский","84","ТОО Жибек-ТД","120"
"106","02.03.2006","Песчаный грунт","300","Целиноградский","85","ТОО Кыргызбай","65,98"
"175","02.08.2006","Изверженные породы (граниты)","1000","Целиноградский","86","ТОО ТСК Достар","192"
"188","21.08.2006","Гравийная смесь","660","Целиноградский","87","ТОО Белокан","171,4"
"254","28.02.2007","кирпичные глины","600","Целиноградский","88","ТОО Astana Ceramic","1036,3"
"259","19.03.2007","Строительный песок","100","Целиноградский","89","ТОО Карьер","52,1"
"278","04.05.2007","Метаморфические породы","1352,5","Целиноградский","90","ТОО Самар-2006","110"
"353","25.12.2007","Известняки","2893","Целиноградский","91","ТОО MAG Resources","150"
"372","23.01.2008","Песчаники","6000","Целиноградский","92","ТОО ДС Нойбург","226"
"373","23.01.2008","Базальты","4200","Целиноградский","93","ТОО ДС Нойбург","154"
"379","24.01.2008","ПГС","120","Целиноградский","94","ТОО Саби-Курылыс","129"
"408","17.03.2008","Гравийно-песчаная смесь","150","Целиноградский","95","КХ Альтаир","137"
"599","23.07.2009","Известняки","875","Целиноградский","96","ТОО GOLDENPIT","80"
"650","05.12.2009","Стройкамень","300","Целиноградский","97","ТОО Базальт 2030 ","240"
"1104","05.09.2014","Глина и глинистая порода","1800","Целиноградский","98","ТОО Астана Кызыл Тас","278,8"
"1182","22.06.2015","глины","1000","Целиноградский","99","ТОО Esil-Clay","90"
"1183","22.06.2015","глины","1486,5","Целиноградский","100","ТОО Жаса-Есіл","36"

﻿"number","period","type_of_activity","deductions_of_subsoil_users_for_the_socio-economic_development","name_of_the_city_district","id","the_name_of_the_subsoil_user","deductions_of_subsoil_users_for_training"
"1183","22.06.2015","глины","1486,5","Целиноградский","100","ТОО Жаса-Есіл","36"
"1184","22.06.2015","Строительный песок","1200","Целиноградский","101","ТОО Esil-KUM","33,6"
"1185","22.06.2015","Строительный песок","1200","Целиноградский","102","ТОО KASS-Esil","17,4"
"1190","07.07.2015","Строительный песок","1982","Целиноградский","103","ТОО Esil-ABC","71,5"
"1311","31.05.2016","Строительный песок","1462,5","Целиноградский","104","ТОО Аккум МКК","38,39"
"1186","22.06.2015","Изверженные породы","7976,5","Шортандинский","105","ТОО Esil-Stone","75,01"
"49","16.04.2001","Стройкамень","2465","Шортандинский","106","ТОО Гранит Плюс","350"
"203","29.09.2006","Естественный щебень","500","Шортандинский","107","ТОО Шортанды-Гранит","50"
"277","04.05.2007","Изверженные породы","200","Шортандинский","108","ТОО Масами плюс","424,76"
"307","14.08.2007","кирпичные глины","300","Шортандинский","109","ТОО Кирп Каз","73,76"
"1026","05.11.2013","глины и глинистые породы","1200","Шортандинский","110","ТОО Бозайгыр","400"
"674","02.04.2010","Глинистые породы","250","Астраханский","111","ТОО Агрофирма Родина","90"
"24","01.03.2005","Строительный песок","104","Целиноградский","112","ТОО Акмоланерудпоставка","11"
"24","01.03.2005","Строительный песок","500","Целиноградский","113","ТОО Астанаинертразработка","52"
"1406","27.04.2017","Строительный песок","1389","Биржан Сал","114","ТОО Есиль-Люкс","43,5"
"1403","04.04.2017","Стройкамень","1200","Аршалынский","115","ТОО Шиели Тас","71"
"1420","19.06.2017","Строительный песок","1200","Целиноградский","116","ТОО СП Құм","18,68"
"1425","04.07.2017","Изверженные породы","200","Жаркаинский","117","ТОО Арка-К","15"
"1439","19.09.2017","Изверженные породы (гранодиориты)","1200","Аршалынский","118","ТОО Артас Есиль","100"
"24","01.03.2005","Песок","200","Целиноградский","119","ТОО Ен-дала","43,93"
"1544","20.08.2018","Осадочные породы","2000","Целиноградский","120","ТОО Астана Жасыл Тас","32"
"1545","20.08.2018","Осадочные породы","3000","Целиноградский","121","ТОО Астана Жасыл Тас","113"
"1466","12.12.2017","Изверженные породы","1000","Бурабайский","122","ТОО РСУ-16","7,2"
